Iteration,Total SSR Count,Source,Genome Size,SSR Density
40,32,Neisseria Flavescens,2231882,0.014337675558116424
41,31,Neisseria Flavescens,2231882,0.013889623196925285
42,29,Neisseria Flavescens,2231882,0.012993518474543008
43,31,Neisseria Flavescens,2231882,0.013889623196925285
44,30,Neisseria Flavescens,2231882,0.013441570835734147
45,30,Neisseria Flavescens,2231882,0.013441570835734147
46,30,Neisseria Flavescens,2231882,0.013441570835734147
47,29,Neisseria Flavescens,2231882,0.012993518474543008
48,28,Neisseria Flavescens,2231882,0.012545466113351871
49,31,Neisseria Flavescens,2231882,0.013889623196925285
50,32,Neisseria Flavescens,2231882,0.014337675558116424
51,29,Neisseria Flavescens,2231882,0.012993518474543008
52,28,Neisseria Flavescens,2231882,0.012545466113351871
53,26,Neisseria Flavescens,2231882,0.011649361390969594
54,33,Neisseria Flavescens,2231882,0.014785727919307561
55,32,Neisseria Flavescens,2231882,0.014337675558116424
56,31,Neisseria Flavescens,2231882,0.013889623196925285
57,32,Neisseria Flavescens,2231882,0.014337675558116424
58,30,Neisseria Flavescens,2231882,0.013441570835734147
59,32,Neisseria Flavescens,2231882,0.014337675558116424
60,34,Neisseria Flavescens,2231882,0.0152337802804987
61,32,Neisseria Flavescens,2231882,0.014337675558116424
62,29,Neisseria Flavescens,2231882,0.012993518474543008
63,31,Neisseria Flavescens,2231882,0.013889623196925285
64,29,Neisseria Flavescens,2231882,0.012993518474543008
65,30,Neisseria Flavescens,2231882,0.013441570835734147
66,32,Neisseria Flavescens,2231882,0.014337675558116424
67,32,Neisseria Flavescens,2231882,0.014337675558116424
68,31,Neisseria Flavescens,2231882,0.013889623196925285
69,33,Neisseria Flavescens,2231882,0.014785727919307561
70,32,Neisseria Flavescens,2231882,0.014337675558116424
71,30,Neisseria Flavescens,2231882,0.013441570835734147
72,28,Neisseria Flavescens,2231882,0.012545466113351871
73,29,Neisseria Flavescens,2231882,0.012993518474543008
74,31,Neisseria Flavescens,2231882,0.013889623196925285
75,33,Neisseria Flavescens,2231882,0.014785727919307561
76,33,Neisseria Flavescens,2231882,0.014785727919307561
77,27,Neisseria Flavescens,2231882,0.012097413752160733
78,31,Neisseria Flavescens,2231882,0.013889623196925285
79,31,Neisseria Flavescens,2231882,0.013889623196925285
80,31,Neisseria Flavescens,2231882,0.013889623196925285
81,33,Neisseria Flavescens,2231882,0.014785727919307561
82,31,Neisseria Flavescens,2231882,0.013889623196925285
83,30,Neisseria Flavescens,2231882,0.013441570835734147
84,30,Neisseria Flavescens,2231882,0.013441570835734147
85,30,Neisseria Flavescens,2231882,0.013441570835734147
86,31,Neisseria Flavescens,2231882,0.013889623196925285
87,30,Neisseria Flavescens,2231882,0.013441570835734147
88,30,Neisseria Flavescens,2231882,0.013441570835734147
89,29,Neisseria Flavescens,2231882,0.012993518474543008
90,28,Neisseria Flavescens,2231882,0.012545466113351871
91,28,Neisseria Flavescens,2231882,0.012545466113351871
92,30,Neisseria Flavescens,2231882,0.013441570835734147
93,28,Neisseria Flavescens,2231882,0.012545466113351871
94,30,Neisseria Flavescens,2231882,0.013441570835734147
95,33,Neisseria Flavescens,2231882,0.014785727919307561
96,32,Neisseria Flavescens,2231882,0.014337675558116424
97,30,Neisseria Flavescens,2231882,0.013441570835734147
98,28,Neisseria Flavescens,2231882,0.012545466113351871
99,32,Neisseria Flavescens,2231882,0.014337675558116424
100,30,Neisseria Flavescens,2231882,0.013441570835734147
1,39,Nocardia Farcinica,6021225,0.006477087303663291
2,41,Nocardia Farcinica,6021225,0.006809245626928075
3,41,Nocardia Farcinica,6021225,0.006809245626928075
4,41,Nocardia Farcinica,6021225,0.006809245626928075
5,42,Nocardia Farcinica,6021225,0.006975324788560467
6,39,Nocardia Farcinica,6021225,0.006477087303663291
7,39,Nocardia Farcinica,6021225,0.006477087303663291
8,44,Nocardia Farcinica,6021225,0.007307483111825251
9,41,Nocardia Farcinica,6021225,0.006809245626928075
10,43,Nocardia Farcinica,6021225,0.007141403950192859
11,39,Nocardia Farcinica,6021225,0.006477087303663291
12,42,Nocardia Farcinica,6021225,0.006975324788560467
13,40,Nocardia Farcinica,6021225,0.006643166465295683
14,40,Nocardia Farcinica,6021225,0.006643166465295683
15,43,Nocardia Farcinica,6021225,0.007141403950192859
16,43,Nocardia Farcinica,6021225,0.007141403950192859
17,40,Nocardia Farcinica,6021225,0.006643166465295683
18,43,Nocardia Farcinica,6021225,0.007141403950192859
19,41,Nocardia Farcinica,6021225,0.006809245626928075
20,46,Nocardia Farcinica,6021225,0.007639641435090035
21,44,Nocardia Farcinica,6021225,0.007307483111825251
22,41,Nocardia Farcinica,6021225,0.006809245626928075
23,40,Nocardia Farcinica,6021225,0.006643166465295683
24,40,Nocardia Farcinica,6021225,0.006643166465295683
25,42,Nocardia Farcinica,6021225,0.006975324788560467
26,43,Nocardia Farcinica,6021225,0.007141403950192859
27,43,Nocardia Farcinica,6021225,0.007141403950192859
28,46,Nocardia Farcinica,6021225,0.007639641435090035
29,40,Nocardia Farcinica,6021225,0.006643166465295683
30,41,Nocardia Farcinica,6021225,0.006809245626928075
31,40,Nocardia Farcinica,6021225,0.006643166465295683
32,42,Nocardia Farcinica,6021225,0.006975324788560467
33,40,Nocardia Farcinica,6021225,0.006643166465295683
34,43,Nocardia Farcinica,6021225,0.007141403950192859
35,42,Nocardia Farcinica,6021225,0.006975324788560467
36,44,Nocardia Farcinica,6021225,0.007307483111825251
37,43,Nocardia Farcinica,6021225,0.007141403950192859
38,44,Nocardia Farcinica,6021225,0.007307483111825251
39,42,Nocardia Farcinica,6021225,0.006975324788560467
40,42,Nocardia Farcinica,6021225,0.006975324788560467
41,39,Nocardia Farcinica,6021225,0.006477087303663291
42,39,Nocardia Farcinica,6021225,0.006477087303663291
43,40,Nocardia Farcinica,6021225,0.006643166465295683
44,40,Nocardia Farcinica,6021225,0.006643166465295683
45,42,Nocardia Farcinica,6021225,0.006975324788560467
46,41,Nocardia Farcinica,6021225,0.006809245626928075
47,46,Nocardia Farcinica,6021225,0.007639641435090035
48,43,Nocardia Farcinica,6021225,0.007141403950192859
49,44,Nocardia Farcinica,6021225,0.007307483111825251
50,46,Nocardia Farcinica,6021225,0.007639641435090035
51,42,Nocardia Farcinica,6021225,0.006975324788560467
52,44,Nocardia Farcinica,6021225,0.007307483111825251
53,44,Nocardia Farcinica,6021225,0.007307483111825251
54,44,Nocardia Farcinica,6021225,0.007307483111825251
55,37,Nocardia Farcinica,6021225,0.006144928980398506
56,40,Nocardia Farcinica,6021225,0.006643166465295683
57,45,Nocardia Farcinica,6021225,0.007473562273457643
58,38,Nocardia Farcinica,6021225,0.006311008142030898
59,43,Nocardia Farcinica,6021225,0.007141403950192859
60,40,Nocardia Farcinica,6021225,0.006643166465295683
61,43,Nocardia Farcinica,6021225,0.007141403950192859
62,41,Nocardia Farcinica,6021225,0.006809245626928075
63,44,Nocardia Farcinica,6021225,0.007307483111825251
64,41,Nocardia Farcinica,6021225,0.006809245626928075
65,42,Nocardia Farcinica,6021225,0.006975324788560467
66,44,Nocardia Farcinica,6021225,0.007307483111825251
67,39,Nocardia Farcinica,6021225,0.006477087303663291
68,41,Nocardia Farcinica,6021225,0.006809245626928075
69,43,Nocardia Farcinica,6021225,0.007141403950192859
70,46,Nocardia Farcinica,6021225,0.007639641435090035
71,41,Nocardia Farcinica,6021225,0.006809245626928075
72,43,Nocardia Farcinica,6021225,0.007141403950192859
73,40,Nocardia Farcinica,6021225,0.006643166465295683
74,41,Nocardia Farcinica,6021225,0.006809245626928075
75,43,Nocardia Farcinica,6021225,0.007141403950192859
76,41,Nocardia Farcinica,6021225,0.006809245626928075
77,42,Nocardia Farcinica,6021225,0.006975324788560467
78,43,Nocardia Farcinica,6021225,0.007141403950192859
79,39,Nocardia Farcinica,6021225,0.006477087303663291
